url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL,dns,domainAge,domainEnd,iframe,forwarding,label
86,3,1,0,1,2,0,1,1,1,0,0,1
34,1,1,0,0,1,0,1,1,1,0,0,1
43,0,1,1,0,1,0,1,1,1,0,0,1
44,1,1,0,0,1,0,1,1,1,0,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
29,1,1,0,0,1,0,1,1,1,0,0,1
24,2,1,0,0,2,0,1,1,1,1,0,1
50,2,1,0,0,2,0,1,1,1,1,0,1
41,0,1,0,1,1,0,1,1,1,0,0,1
347,3,1,0,0,1,1,1,1,1,1,0,1
28,0,1,0,0,1,0,1,1,1,0,0,1
59,4,0,1,0,2,0,1,1,1,1,1,1
115,3,1,0,0,2,0,1,1,1,0,0,1
175,5,1,0,0,1,0,1,1,1,1,0,1
112,4,1,0,0,1,0,1,1,1,0,0,1
23,1,1,1,0,1,0,1,1,1,1,1,1
173,5,1,0,0,1,0,1,1,1,1,0,1
80,3,1,0,1,2,0,1,1,1,1,0,1
26,2,1,0,0,1,0,1,1,1,1,0,1
165,5,1,0,0,1,0,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
26,1,1,0,0,1,0,1,1,1,1,1,1
96,2,1,0,0,1,0,1,1,1,0,0,1
44,0,1,0,1,1,0,1,1,1,1,0,1
62,1,1,0,1,2,0,1,1,1,1,0,1
71,2,1,0,1,1,0,1,1,1,0,0,1
84,0,1,0,1,0,0,1,1,1,1,0,1
46,0,1,0,1,1,0,1,1,1,1,0,1
133,1,0,0,0,1,0,1,1,1,1,0,1
23,0,1,0,0,1,0,1,1,1,1,1,1
24,0,0,0,1,0,0,1,1,1,0,0,1
113,5,1,0,0,1,0,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
27,0,1,0,0,1,0,1,1,1,1,1,1
97,2,1,0,0,1,0,1,1,1,1,0,1
42,1,0,1,0,1,0,1,1,1,0,0,1
34,0,0,0,0,1,0,1,1,1,1,0,1
23,1,1,0,0,1,0,1,1,1,1,0,1
67,4,1,0,1,1,0,1,1,1,1,0,1
29,0,1,0,0,1,0,1,1,1,0,0,1
97,2,1,0,0,1,0,1,1,1,0,0,1
41,1,1,0,0,1,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,1,0,1
24,1,1,0,0,1,0,1,1,1,0,0,1
25,1,1,1,0,1,0,1,1,1,0,0,1
24,1,0,0,0,1,0,1,1,1,1,1,1
96,2,1,0,0,1,0,1,1,1,0,0,1
85,0,1,0,1,1,0,1,1,1,0,0,1
39,1,1,0,0,1,0,1,1,1,1,1,1
104,3,1,0,0,1,0,1,1,1,1,0,1
110,3,1,0,0,1,0,1,1,1,0,0,1
14,0,0,0,0,0,0,1,1,1,0,0,1
38,1,1,0,0,1,0,1,1,1,1,0,1
26,1,1,1,0,1,0,1,1,1,0,0,1
27,0,1,0,0,1,0,1,1,1,1,1,1
175,5,1,0,0,1,0,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,0,0,1
22,0,0,0,0,0,0,1,1,1,0,0,1
105,1,1,0,1,2,0,1,1,1,0,0,1
99,5,1,0,0,1,0,1,1,1,0,1,1
59,3,1,0,0,2,1,1,1,1,1,1,1
32,0,1,0,1,1,1,1,1,1,0,0,1
96,2,1,0,0,1,0,1,1,1,0,0,1
84,0,1,0,1,0,0,1,1,1,0,0,1
40,1,1,0,0,1,0,1,1,1,0,0,1
26,1,1,0,0,1,0,1,1,1,0,0,1
61,5,1,0,0,2,0,1,1,1,1,0,1
167,5,1,0,0,1,0,1,1,1,0,0,1
61,4,0,0,0,2,0,1,1,1,0,0,1
28,0,1,0,0,0,0,1,1,1,1,1,1
37,0,1,0,0,1,0,1,1,1,0,0,1
71,2,1,0,1,1,0,1,1,1,0,0,1
84,0,1,0,1,0,0,1,1,1,0,0,1
39,2,1,0,0,1,0,1,1,1,0,1,1
33,0,0,0,0,1,0,1,1,1,1,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
105,1,1,0,1,2,0,1,1,1,1,0,1
21,0,0,0,0,1,0,1,1,1,0,0,1
190,5,1,0,0,1,0,1,1,1,0,0,1
100,1,1,0,0,2,0,1,1,1,0,0,1
34,0,1,0,1,1,0,1,1,1,0,0,1
181,5,1,0,0,1,0,1,1,1,0,0,1
40,0,1,0,0,1,0,1,1,1,1,0,1
96,2,1,0,0,1,0,1,1,1,1,0,1
37,0,1,0,1,1,0,1,1,1,0,0,1
178,5,1,0,0,1,0,1,1,1,0,0,1
181,5,1,0,0,1,0,1,1,1,0,0,1
319,3,1,0,0,1,1,1,1,1,1,0,1
34,0,1,0,1,1,0,1,1,1,0,0,1
92,2,1,0,0,1,0,1,1,1,0,0,1
84,0,1,0,1,0,0,1,1,1,0,0,1
65,3,1,0,0,1,0,1,1,1,0,0,1
71,1,1,0,1,1,0,1,1,1,0,0,1
51,2,1,0,0,1,0,1,1,1,0,0,1
24,0,1,0,0,0,0,1,1,1,0,0,1
23,0,1,0,0,1,0,1,1,1,1,0,1
62,4,0,0,0,2,0,1,1,1,1,0,1
92,2,1,0,1,1,0,1,1,1,0,0,1
43,1,0,0,0,2,0,1,1,1,1,0,1
57,3,1,0,0,1,1,1,1,1,0,0,1
65,1,1,0,1,2,0,1,1,1,1,0,1
23,1,1,1,0,1,0,1,1,1,1,1,1
60,1,1,0,0,2,0,1,1,1,0,0,1
104,3,1,0,1,2,0,1,1,1,0,0,1
