,domain,url_len,url_dep,httpDomain,tinyURL,hyphenURL,subURl,keyWordURL
127,ievkxsm.cn,23,0,1,0,0,1,0
128,docs.google.com,167,5,1,0,0,1,0
129,cloudflare-ipfs.com,92,2,1,0,1,1,0
130,cloudflare-ipfs.com,110,3,1,0,1,2,0
131,vrncit.ru,59,6,1,0,0,1,1
132,mail-chhimekbnk.pages.dev,33,0,1,0,1,0,0
133,docs.google.com,167,5,1,0,0,1,0
134,uep.dfv.mybluehost.me,92,6,1,0,0,3,1
135,43.156.7.24,461,3,1,0,0,1,1
136,ipfs.eth.aragon.network,110,3,1,0,0,2,0
137,cloudflare-ipfs.com,92,2,1,0,1,1,0
138,creencerater.firebaseapp.com,37,0,1,0,0,1,0
139,easternrgrg.organiccrap.com,35,0,1,0,0,0,0
140,nalodd.online,21,0,0,0,0,1,0
141,outlook-102858.weeblysite.com,38,0,1,0,1,1,0
142,docs.google.com,175,5,1,0,0,1,0
143,meadow-star-meter.glitch.me,107,0,1,0,1,1,0
144,sites.google.com,44,3,1,0,0,1,0
145,resume.io,29,2,1,0,0,1,0
146,bafybeieqt5arb3opqfitwn3qvefxu4efnjgzhjoqddvunslrpnkmxpaw7y.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
147,pub-67e1fd78d57b4b33bb4ae1d4ef5d1ea1.r2.dev,62,1,1,0,1,2,0
148,nftstorage.link,88,3,1,0,0,2,0
149,edavki-portal.web.app,30,0,1,0,1,1,0
150,anti-roboter01.firebaseapp.com,39,0,1,0,1,1,0
151,sy77c.com,22,0,1,0,0,1,0
152,site9614498.92.webydo.com,37,0,0,0,0,1,0
153,plmn89-55673.web.app,29,0,1,0,1,1,0
154,li-vraria-eureka.blogspot.com,38,0,1,1,1,1,0
155,cloudflare-ipfs.com,92,2,1,0,1,1,0
156,cloudflare-ipfs.com,92,2,1,0,1,1,0
157,hotmailidentco.webcindario.com,39,0,1,0,0,1,0
158,blue-de-spoexi.codeanyapp.com,72,4,1,0,1,2,1
159,usp.usspgn.top,23,0,1,0,0,1,0
160,druhklsjgsri.urest.org,31,0,1,0,0,1,0
161,worker-misty-base-6a04.mrinaldi.workers.dev,51,0,1,0,1,0,0
162,albertovalenza.it,26,0,1,0,0,1,0
163,collier-enterprises.myportfolio.com,44,0,1,0,1,1,0
164,cloudflare-ipfs.com,92,2,1,0,1,1,0
165,ipfs.eth.aragon.network,97,2,1,0,0,1,0
166,sites.google.com,38,2,1,0,0,1,0
167,cf-ipfs.com,71,2,1,0,1,1,0
168,s.yam.com,30,2,1,0,0,1,0
169,qrco.de,22,1,1,0,0,1,0
170,new.express.adobe.com,51,2,1,0,0,1,0
171,threadandvelcrotfr.firebaseapp.com,43,0,1,0,0,1,0
172,bafkreicvjk2msbkhemku4ansmwdjy3hdl56jmq4hpm6u25izagi5lkfcmi.ipfs.cf-ipfs.com,84,0,1,0,1,0,0
173,b4e921f0.sso-mailsrvr-4344e5teed.pages.dev,72,0,1,0,1,1,0
174,steamcommunitylog.chez.com,43,1,0,0,0,2,0
175,sparkass-sidcheck6.firebaseapp.com,43,0,1,0,1,1,0
176,bafybeiblcoqxhk2ytl7lcac7nl5uzybuctsl7xy75wot56yvnu6fkyg3ma.ipfs.cf-ipfs.com,85,0,1,0,1,1,0
177,respondto.forms.app,42,1,1,0,0,1,0
178,pub-2558ad5a143049ff807a1b2b3516c41d.r2.dev,68,1,1,0,1,2,0
179,polkadot.network,29,0,1,0,0,1,0
180,btinternet-104047.weeblysite.com,41,0,1,0,1,1,0
181,nourclean.com,29,1,1,0,0,1,0
182,cf-ipfs.com,71,2,1,0,1,1,0
183,bafybeic2qdybbnpuwurxtsea6yw3q532s7k3utnufnuy4wx4ewxdby4nt4.ipfs.cf-ipfs.com,97,1,1,0,1,2,0
184,uspsgob.com,20,0,1,0,0,1,0
185,proactive-consultora.com,51,3,1,0,1,1,0
186,ghd66.weebly.com,25,0,1,0,0,1,0
187,bjhvdfhb.wixsite.com,36,1,1,0,0,1,0
188,cashouteen.blogspot.com,36,0,1,1,0,1,0
189,docs.google.com,175,5,1,0,0,1,0
190,banru2397.webcindario.com,33,0,0,0,0,1,0
191,script.google.com,112,4,1,0,0,1,0
192,index-asv.pages.dev,28,0,1,0,1,1,0
193,shorturl.at,25,1,1,0,0,1,0
194,pub-eaa055c05628483597a71842df6e52c9.r2.dev,79,1,1,0,1,2,0
195,cloudflare-ipfs.com,92,2,1,0,1,1,0
196,cz10014.tw1.ru,38,2,0,0,0,2,1
197,cloudflare-ipfs.com,104,3,1,0,1,2,0
198,btinternet-106388.weeblysite.com,41,0,1,0,1,1,0
199,zimbraadminwebsite.weebly.com,38,0,1,0,0,1,1
200,swap-bsc.tokentool.club,38,0,1,0,1,1,0
201,my-gardenparty.com,49,2,1,0,1,2,0
202,shrtm.nu,20,1,1,0,0,1,0
203,new.express.adobe.com,51,2,1,0,0,1,0
204,bafybeiavcwbxkqrer7mmcny6cdy7fw42sdbtfashqwgqbihrkaq7wdxiuq.ipfs.cf-ipfs.com,112,1,1,0,1,2,0
205,service832.webcindario.com,34,0,1,0,0,0,0
206,ipfs.eth.aragon.network,103,3,1,0,0,1,0
207,qepdqzczzopvqgp.lsx631.com,134,1,1,0,0,2,0
208,bt-105075.weeblysite.com,33,0,1,0,1,1,0
209,meta1000234992395.web.app,34,0,1,0,0,1,0
210,site9613620.92.webydo.com,37,0,0,0,0,1,0
211,lidolepalme.it,31,1,1,0,0,1,0
212,pridefulmoon.com,149,6,1,0,0,1,0
213,ipfs.eth.aragon.network,97,2,1,0,0,1,0
214,lallhavdec.web.app,27,0,1,0,0,1,0
